id;start_date;end_date;language
1;2020-10-16T06:25:30;2020-10-16T04:15:45;SPANISH
2;2020-10-15T11:15:41;2020-10-16T06:20:06;SPANISH
3;2020-10-16T02:11:00;2020-10-15T12:45:09;FRENCH
4;2020-10-15T17:28:31;2020-10-16T04:59:57;FRENCH
5;2020-10-16T02:58:49;2020-10-16T07:45:48;FRENCH
6;2020-10-15T20:51:10;2020-10-16T08:59:24;FRENCH
7;2020-10-15T22:36:30;2020-10-15T16:27:21;FRENCH
8;2020-10-15T21:32:43;2020-10-16T07:48:51;SPANISH
9;2020-10-15T20:13:52;2020-10-15T16:55:15;SPANISH
10;2020-10-16T04:25:56;2020-10-15T15:00:26;SPANISH
